Proveedor,Rama Especialización,No. de Registro,Fecha Registro Padrón,Dirección,Colonia,Código Postal,Entidad Federativa,Correo Electrónico,Telefono
3D BUSINESS AND SOLUTIONS SA DE CV,Sistemas fotovoltaicos,1894SFV,2021-08-20,CALLE 10 # 94,EL PORVENIR,57430,Estado de México,uguglielmi@3dpro.mx,55 6550 8871 
AB GREEN CONSTRUCTORA E INTEGRADORA DE ECOTECNOLOGIAS SAS DE CV,Sistemas fotovoltaicos,2123SFV,2021-07-16,CALLE AQUILES SERDAN 179,VICTORIA DE DURANGO CENTRO,34000,Durango,soporteejecutivo.abgreen@gmail.com,6188189252
ABAR CONSTRUCCIONES SA DE CV,Sistemas fotovoltaicos,1959SFV,2021-08-06,AV.PODER LEGISLATIVO 300-A,DEL EMPLEADO,62250,Morelos,abar.direccion@gmail.com,7772436670
ABELARDO RODRIGUEZ LOPEZ,Sistemas fotovoltaicos,1502SFV,2022-06-30,AV. UNIVERSIDAD No. 3320,MAGISTERIAL,31310,Chihuahua,"abelardordz@outlook.com, arodriguez@eco-energia.com",01 614 414 2488
ABM SOLUCIONES INTEGRALES S.A. DE C.V.,Sistemas fotovoltaicos,1717SFV,2022-03-11,CALLE 61 NO.  37 A,REVOLUCION,24120,CAMPECHE,bvazquez@abmsisa.com,938 112 4105
ADRIAN ALEJANDRO TORRES MARTINEZ,Sistemas fotovoltaicos,2135SFV,2021-10-13,TEPIC XALISCO 516,MIRAVALLES,63184,Nayarit,adrian.alejandro.torres@gmail.com,3111038290
AHORRA LUZ S.A. DE C.V.,Sistemas fotovoltaicos,1893SFV,2021-12-17,ALFREDO C. GARCIA 103,SAN JOSE,64270,NUEVO LEÓN,vicenteg@aluz.mx,818371 7181
"AISLAMIENTOS Y CLIMAS DE OBREGON, S.A. DE C.V.",Sistemas fotovoltaicos,1888SFV,2021-03-29,CEIBA NO. 805,CHAPULTEPEC,85100,Sonora,"aislamientosdeobregon@hotmail.com, acoenergiasolar@gmail.com",644 16 91 925
ALEJANDRO VILLALOBOS QUINTANA,Sistemas fotovoltaicos,2133SFV,2021-09-24,FERNANDO F DWORAK No. 999,MUNICIPIO LIBRE,85080,Sonora,aviclimas@hotmail.com,644 412 2418
ALLES AMBIENTAL S.A. DE C.V. ,Sistemas fotovoltaicos,1546SFV,2020-11-12,AV CALZADA CENTRAL No. 45,CIUDAD GRANJA,45010,Jalisco,"jazmin@allesambiental.com, admin.alles@gmail.com, administracion@allessolar.com",01 33 3629 3150
ALT ENERGY DE MEXICO SA DE CV,Sistemas fotovoltaicos,1919SFV,2019-04-05,AV INDUSTRIALES 101-A,INDUSTRIAL JULIAN DE OBREGON,37290,Guanajuato,altenergyadmon2@gmail.com,4777115010
ALTA EDIFICA Y CONSTRUYE SA DE CV,Sistemas fotovoltaicos,1972SFV,2019-09-27,MORALES ESQ  AVE CHAIREL,ALTAVISTA,89240,Tamaulipas,delrjant@hotmail.com,8332276164
ALTERNATIVA ENERGETICA S.A. DE C.V.,Sistemas fotovoltaicos,1605SFV,2021-12-17,AV SAN LORENZO NO. 4 INT. 1,CENTRO,72700,PUEBLA,"j.totolhua@energiasolar.com.mx,",222 50 90  384
AMERICAN RENEWABLES INSTITUTE SA DE CV,Sistemas fotovoltaicos,2209SFV,2022-05-17,CALZADA HÉROES DE CHAPULTEPEC 405,XOCHIMILCO,68040,Oaxaca,energizatesolar@gmail.com,9515928181
AMIGANET S. DE R.L. DE C.V. ,Sistemas fotovoltaicos,1921SFV,2022-02-25,AV LAZARO CARDENAS  2795,JARDINES DEL BOSQUE,44520,Jalisco,alberto@renovablesdelsur.com,33 1491 0983
